key,source,target
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_GirlComic_010,"(A woman's magazine…
My father isn't fond of seeing these around.)","(Bir kadın dergisi…
Babam bunları etrafta görmekten hoşlanmaz.)"
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_CuteDress_010,(Isn't that cute...),(Çok tatlı dimi...)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_DollsGame_010,"(He always told me, ""Play house like a good girl should."")","(Bana hep, ""İyi bir kız çocuğu gibi evcilik oyna,"" derdi.)"
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_SacredSword_Illusion_010,(What was that...? Some kind of box...in a house?),(O da neydi...? Bir tür kutu...evin içinde?)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_KidLaugh_010,(Laughter),(Kahkaha)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_SacredSword_Clue_010,(There's a picture here of...Ojizo-san?),(Burada bir... Ojizo-san resmi var?)
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_GoToNarrowAlley_010,...Better find another way.,...Başka bir yol bulsam iyi olur.
D_Ch01_OLD_StringTable/Str_Ch01_OLD_EnvInfo_MessageA_010,"Name:
Suzutani Mayumi

Last Seen Wearing:
White blouse, long navy skirt, beige neckerchief with black polka dots

Details of Disappearance:
(The rest has been torn off.)","Adı:
Suzutani Mayumi

Son Görüldüğünde Giydikleri:
Beyaz bluz, uzun lacivert etek, siyah puantiyeli bej fular

Kaybolma Detayları:
(Geri kalanı yırtılmış.)"
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_Housewife_010,"It's a curse. It has to be. 
How else could she die like that?","Bu bir lanet. Başka açıklaması olamaz. 
Başka nasıl böyle ölebilirdi ki?"
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR4_020,I guess money was more important in the end. ,Sanırım sonunda para daha önemliydi.
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_BehindTruck_010,Where'd the driver go...?,Şoför nereye gitti...?
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_GoToNarrowAlley_020,I remember there was a shortcut up ahead.,İleride bir kestirme yol olduğunu hatırlıyorum.
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR4_010,"But wasn't that girl dating the boy
from the Iwai family?","Ama o kız, Iwai ailesinden olan çocukla
çıkmıyor muydu?"
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR2_030,Shh! Someone's going to hear you...,Şşşt! Biri seni duyacak...
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_Housewife_030,Shh! Someone's going to hear you...,Şşşt! Biri seni duyacak...
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR3_020,"Of all the families to enter,
one cursed by Oinari-sama...?","Katılacak onca aile varken,
Oinari-sama'nın lanetlediği bir aile mi...?"
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_SeeBillboard_010,It's torn...,Yırtılmış...
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR3_010,"From what I've heard,
it was a fox that spirited her away.","Duyduğuma göre,
onu bir tilki alıp götürmüş."
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_SeeShu_010,It's Shu.,Bu Shu.
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR2_010,"I do quite envy her, though. 
I can't believe it was her.","Doğrusu onu kıskanıyorum. 
Onun olduğuna inanamıyorum."
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_HousewifeR2_020,"I have to say, I'm rather jealous. 
Why her of all people...?","İtiraf etmeliyim, biraz kıskandım. 
Neden herkesten çok o...?"
D_Ch01_OLD_StringTable/Str_Ch01_OLD_VO_Housewife_020,I would never... Not that family...,Asla yapmazdım... O aileye değil...
D_Ch02_EHL_StringTable/Str_Ch02_EHL_VO_HellModeStart_010,...My...head...,...Benim...kafam...
D_Ch02_EHL_StringTable/Str_Ch02_EHL_EnvInfo_Message_Puzzle,"Thy restless heart betrays thee as unfit for this auspicious day.

Thou must first pay respect to the gods and the spirits of thine ancestors.

A restless heart leads to a corrupt soul.

Only through sufficient offerings laid upon many stands may thy soul be cleansed.","Huzursuz kalbin seni bu hayırlı gün için uygunsuz kılıyor.

Önce tanrılara ve atalarının ruhlarına saygı göstermelisin.

Huzursuz bir kalp, yozlaşmış bir ruha yol açar.

Ancak birçok sehpaya bırakılan yeterli adaklarla ruhun temizlenebilir."
D_Ch02_EHL_StringTable/Str_Ch02_EHL_EnvInfo_Message_PuzzleHard,"Kudzu, respected by all and a leader of the people, was wed to Pine.

Plum, loved by all and always at the center of any group, was wed to Bamboo.

Chrysanthemum, who had no mate, spent their days studying under Kudzu and became known as the ""Sage of the East.""

Let the prosperity of our clan be eternal.","Kudzu, herkesin saygı duyduğu ve halkın lideri olan kişi, Çam ile evliydi.

Erik, herkesin sevdiği ve her grubun merkezi olan kişi, Bambu ile evliydi.

Krizantem, eşi olmayan kişi, günlerini Kudzu'nun yanında ders çalışarak geçirdi ve ""Doğu Bilgesi"" olarak tanındı.

Klanımızın refahı sonsuz olsun."
D_Ch02_EHL_StringTable/Str_Ch02_EHL_VO_Altar_010,What's this?,Bu da ne?
D_Ch02_EHL_StringTable/Str_Ch02_EHL_VO_Wake_010,Where am I?,Neredeyim ben?
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManA_010,Who...was that?,Kim...di o?
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_Doll_010,What's this doing here?!,Bu da neyin nesi?!
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_EmaLock_020,...It's locked!,...Kilitli!
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_ChasedByCrawler_B,Leave me alone!,Beni rahat bırak!
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCall_030,Now then...,Peki...
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_MonsterofCaldron_010_Hard_Hint,Yokai of the Umbrella,Şemsiye Yokaisi
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_ReturnToGate_010,No! Stay away from me!,Hayır! Benden uzak dur!
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_GetEmaClue_030,"Alright, time to try that lock.","Pekala, o kilidi deneme zamanı."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCall_020,Mind your step.,Adımlarına dikkat et.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_OneWayDoor_010,Seems like it's locked from the other side.,Görünüşe göre diğer taraftan kilitli.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCall_040,Take all the time you need.,İhtiyacın olan tüm zamanı kullan.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_EmaHint_010_Easy,"To extoll the advent of our clan, we bestow upon this sacred land the name ""Heaven's Benediction.""

Send forth to the sky a crane;
to the earth, a serpent;
and to the spring, a tortoise.

Pray for the prosperity of our clan.","Klanımızın gelişini yüceltmek için, bu kutsal topraklara ""Cennetin Kutsaması"" adını veriyoruz.

Gökyüzüne bir turna gönderin;
yeryüzüne bir yılan;
ve su kaynağına da bir kaplumbağa.

Klanımızın refahı için dua edin."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_GetEmaClue_010,This seems right. Better look for more.,Burası doğru gibi. Daha fazla arasam iyi olacak.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_EnvInfo_MessageE_010,"To whomever happens to read this note:

It becomes so easy if you just stop and give up.

After all, you are already among the dead.","Bu notu okuyan her kimse:

Sadece durup vazgeçerseniz her şey çok kolaylaşır.

Sonuçta, zaten ölülerin arasındasınız."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_EnvInfo_MessageC_010,Was my sole purpose in life to become a sacrifice? I have lost faith in all that I once believed.,Hayattaki tek amacım kurban olmak mıydı? Bir zamanlar inandığım her şeye olan inancımı kaybettim.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCallWarehouse_010,We've arrived.,Vardık.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_EnvInfo_MessageA_010,"As I pass into the world of the dead, I pray only that I do not pass through the gates of Hell. 
Please... Hear my prayer...","Ölüler dünyasına geçerken, tek duam cehennemin kapılarından geçmemek. 
Lütfen... Duy dualarımı..."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_EmaLockHint_010,"Wait a minute...
I feel like I've seen something like this before.","Bir dakika...
Bunu daha önce görmüş gibiyim."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_EnvInfo_MessageD_010,"Mom, Dad... I don't think I'll make it home. I just wish I could see you one last time...
—Mayumi","Anne, Baba... Sanırım eve varamayacağım. Sizi bir kez daha görebilmeyi ne kadar çok isterdim...
—Mayumi"
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Tree_010_Normal_Hint,Decayed Tree,Çürümüş Ağaç
D_Ch02_TOR_StringTable/Str_Ch02_TOR_EnvInfo_MessageB_010,"Farewell, my beloved. I leave here to you the entirety of my heart.",Elveda sevgilim. Kalbimin tamamını sana bırakıyorum.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_EmaHint_010_Hard,"To those corrupted souls who dare encroach upon our sacred land, may you be met with calamity and destruction.

The Yokai of the Carriage had their heads removed.
The Yokai of the Umbrella,
their arms.
And the Yokai of the Kettle,
their legs.

Only the losses of each shall purify this corruption.","Kutsal topraklarımıza girmeye cüret eden yozlaşmış ruhlara, felaket ve yıkımla karşılaşın.

Araba Yokaileri'nin başları kesildi.
Şemsiye Yokaileri'nin,
kolları.
Ve Ketıl Yokaileri'nin,
bacakları.

Sadece her birinin kaybı bu yozlaşmayı temizleyecektir."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Kuzuba_010_Normal_Hint,Kudzu,Kudzu
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Serpents_010_Easy_Hint,Serpent,Yılan
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_EmaHint_010_Normal,"Lightning cast down from the heavens split asunder the decayed tree.

From the earth grows kudzu, the prophet of eternal prosperity.","Göklerden inen şimşek, çürümüş ağacı ikiye böldü.

Topraktan büyüyen kudzu, ebedi refahın peygamberidir."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCall_060,This way.,Bu tarafa.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FoxManCall_010,"This way, Hinako.","Bu tarafa, Hinako."
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FollowFoxMan_B,I guess I better follow him.,Sanırım onu takip etsem iyi olacak.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_MonsterofCage_010_Hard_Hint,Yokai of the Carriage,Araba Yokaisi
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_FrontGate_010,Wait... What's this shrine?,Bekle... Bu tapınak da ne?
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_GetEmaClue_020,One left.,Bir tane kaldı.
D_Ch02_TOR_StringTable/Str_Ch02_TOR_VO_EnterWarehouse_010,That man... Where'd he go?,O adam... Nereye gitti?
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_MonsterofCovering_010_Hard_Hint,Yokai of the Kettle,Çaydanlık Yokaisi
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Lighting_010_Normal_Hint,Lightning,Şimşek
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Cranes_010_Easy_Hint,Crane,Turna
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Puzzle_Tortoises_010_Easy_Hint,Tortoise,Kaplumbağa
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Thoughts_Ema_010,(Are these...patterns? Symbols of some kind?),(Bunlar... desenler mi? Bir tür semboller mi?)
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Thoughts_FoxStatue_010,(It must've had something in its mouth...),(Ağzında bir şey olmalıydı...)
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Thoughts_Sesha_010,(The Inari statue's...laughing? ...Creepy...),(Inari heykeli...gülüyor? ...Ürkütücü...)
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Thoughts_Doll_010,(That doll... What is it...?),(O oyuncak bebek... O da ne...?) 
D_Ch02_TOR_StringTable/Str_Ch02_TOR_Thoughts_OCRGate_010,(He said something about preparing a key...),(Bi anahtar hazırlamakla ilgili bişeylerden bahsetmişti...)
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_03_Hard,"It's your funeral today.
You hurt him, and now you're leaving him behind.
I hope you suffer for what you've done.","Bugün senin cenazen var.
Önce onu incittin, şimdi de onu terk ediyorsun.
Umarım yaptıkların için acı çekersin."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_04_Hard,"It's your funeral today.
You were such a thorn in my side.
Always getting between me and him.","Bugün senin cenazen var.
Ne kadar da başımın belasıydın.
Sürekli benimle onun arasına giriyordun."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_05_Hard,"It's your funeral today.
Goodbye, and don't ever show your face again. Go do your own thing, just like you always have.","Bugün senin cenazen var.
Hoşça kal ve bir daha asla yüzünü gösterme. Git kendi işini yap, her zaman yaptığın gibi."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_01_Hard,"It's your funeral today.
I think I'll give you a standing ovation.","Bugün senin cenazen var.
Sanırım seni ayakta alkışlayacağım."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_02_Hard,"It's your funeral today.
Good riddance.
It feels as though I finally got this painful burden off my chest.","Bugün senin cenazen var.
Kurtulduğuma çok memnunum.
Sonunda bu acı yükü göğsümden atmışım gibi hissediyorum."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_03_Normal,"Can you even imagine how I feel?
He never once looked at me the way he looked at you.
Not once.","Benim nasıl hissettiğimi hayal edebiliyor musun?
Bana asla sana baktığı gibi bakmadı.
Tek bir kez bile."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_05_Normal,"Can you even imagine how I feel?
You hurt me, and even hurt him, too.
Do you know how it feels to force a smile when I'm staring at that disgusting face of yours?!","Nasıl hissettiğimi hayal edebiliyor musun?
Beni incittin, hatta onu da incittin.
O iğrenç yüzüne bakarken zorla gülümsemeye çalışmanın nasıl bir his olduğunu biliyor musun?!"
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_04_Normal,"Can you even imagine how I feel?
You've always been such an eyesore.","Benim nasıl hissettiğimi hayal edebiliyor musun?
Her zaman gözüme batan bir şey oldun."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_02_Normal,"Can you even imagine how I feel?
What it's like to have been deceived by you for so long?","Nasıl hissettiğimi hayal edebiliyor musun?
Bu kadar uzun süre senin tarafından kandırılmanın nasıl bir şey olduğunu?"
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_01_Normal,"Can you even imagine how I feel?
I'll put on my polite smile for now.","Nasıl hissettiğimi hayal edebiliyor musun?
Şimdilik kibar gülümsememi takınacağım."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_03_Easy,"Who are you?
I'll be your friend. Otherwise, you'd be so miserably alone.","Sen kimsin?
Arkadaşın olacağım. Yoksa çok sefil bir şekilde yalnız kalırsın."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_04_Easy,"Who are you?
Tell me, truly. You two aren't anything more than friends, right?
I've always been watching you when you weren't looking, you know.","Sen kimsin?
Söyle bana, dürüstçe. İkiniz arkadaştan öte bir şey değilsiniz, değil mi?
Siz bakmıyorken hep sizi izliyordum, biliyorsun."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_05_Easy,"Who are you?
You. Yes, you.","Sen kimsin?
Sen. Evet, sen."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_01_Easy,"Who are you?
Why do you always have to be different than everyone else? Freak.","Sen kimsin?
Neden her zaman herkesten farklı olmak zorundasın? Ucube."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_Puzzle_Hint_02_Easy,"Who are you?
Honestly. You're helpless without me.","Sen kimsin?
Dürüst olmak gerekirse, bensiz hiçbir şeysin."
D_Ch03_FLD_StringTable/Str_Ch03_FLD_VO_AnotherPuzzle_010,Another scarecrow?,Başka bir korkuluk mu?
D_Ch03_FLD_StringTable/Str_Ch03_FLD_VO_TeleportBack_01B,Didn't I pass through here before...?,Buradan daha önce geçmemiş miydim...?
D_Ch03_FLD_StringTable/Str_Ch03_FLD_VO_TeleportBack_01C,Why am I here again?,Neden tekrar buradayım?
D_Ch03_FLD_StringTable/Str_Ch03_FLD_VO_SeeHint_010,"Remove the thorns... Huh? 
What does that mean?","Dikenleri sök... Ha? 
Bu ne anlama geliyor?"
D_Ch03_OLD_StringTable/Str_Ch03_OLD_EnvInfo_UFOPoster_010,"[The Great Space Invasion <2>]

INCONCEIVABLE! Is there a secret invasion of BODY-SNATCHING ALIENS?
They may already be among your loved ones!!","[Büyük Uzay İstilası <2>]

AKIL ALMAZ! BEDEN HIRSIZI UZAYLILARIN gizli bir istilası mı var?
Belki de çoktan sevdiklerinizin arasındalar bile!!"
D_Ch03_OLD_StringTable/Str_Ch03_OLD_VO_CandyStore_010,"Sakuko... I'm sorry, but I need to get going.","Sakuko... Üzgünüm, ama gitmem gerek."
D_Ch03_OLD_StringTable/Str_Ch03_OLD_VO_SakikoHouse_010,Sakuko's parents... Are they not here either?,Sakuko'nun ebeveynleri... Onlar da mı burada değil?
D_Ch03_OLD_StringTable/Str_Ch03_OLD_VO_Start_010,"Alright, I need to focus. Need to find Rinko.","Pekala, odaklanmam gerek. Rinko'yu bulmam lazım."
D_Ch03_OLD_StringTable/Str_Ch03_OLD_EnvInfo_SexyPoster_010,Real Men Drink Ohtori Beer!,Gerçek Erkekler Ohtori Birası İçer!
D_Ch03_OLD_StringTable/Str_Ch03_OLD_VO_Alleyway01_010,Please tell me that monster's not around...,Lütfen o canavar buralarda olmadığını söyleyin...
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_ShoppingStreet_010,"(It's eerie, not seeing anyone around...)",(Etrafta kimseyi görmemek ürkütücü...)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_Truck_010,(Did someone move the truck...?),(Kamyonu birisi mi hareket ettirmiş...?) 
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_Scarecrow_010,(What a creepy scarecrow...),(Ne kadar da ürkütücü bir korkuluk...)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_Alleyway_010,(I have to head back and catch up with Shu.),(Geri dönüp Shu'ya yetişmeliyim.)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_SakikoHouse_010,(No one's here...),(Kimse yok...)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_DamagedMailbox_010,(It's broken...nothing inside.),(Kırık... İçinde hiçbir şey yok.)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_DamagedHouse_010,(What happened here...?),(Burada ne oldu...?) 
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_BridgeBroken_010,(What could have caused this...?),(Buna ne sebep olmuş olabilir...?) 
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_MailBox_010,(It's locked.),(Kilitli.)
D_Ch03_OLD_StringTable/Str_Ch03_OLD_Thoughts_RoadWork_010,"(Still under construction…
When are they going to be finished?)","(Hâlâ yapım aşamasında…
Ne zaman bitirecekler?)"
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_TankSound_010,What was that?,O da neydi?
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_BackFromShrine_060,Right. Let's go.,Tamam. Gidelim.
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_ShuWaiting_010,Shu's waiting for me. I need to go.,Shu beni bekliyor. Gitmem gerek.
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_CloseCorruption_010,...Disgusting...,...İğrenç...
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_Escaped_070,Right. Time to go.,Doğru. Gitme zamanı.
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_Escaped_060,"Yeah, a while ago. Anyway, let's move.","Evet, bir süre önce. Neyse, hadi gidelim."
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_Confuse_010,...Is someone there?,...Orada biri var mı?
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_Escaped_020,"Yeah, I think so.","Evet, sanırım öyle."
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_MeetTank_010,What the hell is that thing?!,Bu da neyin nesi?!
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_PullBucket_010,"...Not enough! 
Need to keep turning it!","...Yeterli değil! 
Döndürmeye devam etmeliyim!"
D_Ch03_OSF_StringTable/Str_Ch03_OSF_VO_InDoctorHouse_010,"...Doctor, is that you...?","...Doktor, siz misiniz...?"
